participant_id,input_type,model_order,diagnosis_type,shown_confidence_A,shown_confidence_B,trust_rating_A,trust_rating_B,first_response_confidence_rating,final_confidence_rating,final_trust_rating,preferred_model,trust_reasoning_text,input_type_encoded,model_order_encoded,diagnosis_type_encoded,preferred_model_encoded,shown_confidence_A_numeric,shown_confidence_B_numeric,age,gender_encoded,prior_ai_experience,medical_background_flag,medical_knowledge_level,anchoring_bias,automation_bias,confirmation_bias,anchored_behavior,automation_behavior,confirmation_behavior,preferred_model_cleaned,comment_A,comment_B,themes_A,themes_A_category,themes_B,themes_B_category,themes_preferred,themes_preferred_category,themes_nonpreferred,themes_nonpreferred_category,sentiment_score_A,sentiment_label_A,sentiment_score_B,sentiment_label_B,preferred_comment,nonpreferred_comment,sentiment_score_preferred,sentiment_label_preferred,sentiment_score_nonpreferred,sentiment_label_nonpreferred,preferred_category,preferred_model_name
aish,text,"A, B",conflicting,Yes (3),Yes (4),4,4,4,3,3,B,"The models had slightly different views, but each emphasized important factors. Model A highlighted quick remedies, while Model B stressed long-term care.
I felt both perspectives were valuable for a complete understanding, so I trusted both. But since B was more confident I chose B",0,0,1,1,3,4,26,1,5,0,2,1,3,2,0,1,1,b,"Model A highlighted quick remedies, while Model B stressed long-term care",Model B stressed long-term care,Excessive Reasoning or Detail,Over-Explanation,Excessive Reasoning or Detail,Over-Explanation,Excessive Reasoning or Detail,Over-Explanation,Excessive Reasoning or Detail,Over-Explanation,0.7395581007003784,Positive,0.7442536354064941,Positive,Model B stressed long-term care,"Model A highlighted quick remedies, while Model B stressed long-term care",0.7442536354064941,Positive,0.7395581007003784,Positive,Over-Explanation,BioGPT
akan,text,"B, A",consistent,Yes (5),Yes (3),5,5,5,5,3,B,"Both the models were right, one gave natural remedies and the other gave over-the-counter medicines. I am doing MS in drug development, seeing model B's response improved my trust in AI",0,1,0,1,5,3,25,1,5,1,4,3,2,4,1,0,0,b,,model B's response improved my trust in AI,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,0.4512723982334137,Negative,0.8208847641944885,Positive,model B's response improved my trust in AI,,0.8208847641944885,Positive,0.4512723982334137,Negative,The Clinical Authority and Specificity,BioGPT
akas,text,"A, B",consistent,No ,No,4,4,4,4,4,B,Model B's response was short and it also included treatment options even when I didn't specify that in the prompt. A's response was also the same but it gave too much explanation,0,0,0,1,0,0,22,0,5,0,1,1,4,1,0,0,0,b,,Model B's response was short and it also included treatment options even when I didn't specify that in the prompt,Concise and Goal-Oriented Communication,The Clear and Logical Explanations,Concise and Goal-Oriented Communication,The Clear and Logical Explanations,Concise and Goal-Oriented Communication,The Clear and Logical Explanations,Concise and Goal-Oriented Communication,The Clear and Logical Explanations,0.4512723982334137,Negative,0.6876972913742065,Positive,Model B's response was short and it also included treatment options even when I didn't specify that in the prompt,,0.6876972913742065,Positive,0.4512723982334137,Negative,The Clear and Logical Explanations,BioGPT
anan,text,"B, A",conflicting,Yes (2),Yes (5),4,3,3,2,2,A,"Both responses provided helpful information, but they focused on different aspects.
One response gave immediate first-aid advice, while the other covered potential complications.
Since both seemed useful depending on the situation, I trust both models equally",0,1,1,0,2,5,22,1,5,0,2,2,2,3,0,0,1,a,,,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,0.4512723982334137,Negative,0.4512723982334137,Negative,,,0.4512723982334137,Negative,0.4512723982334137,Negative,The Clinical Authority and Specificity,Gemini
anja,image,"B, A",consistent,No ,No ,4,5,3,4,4,A,I liked how A was in detail but it was way too general and B was very good in terms of diagnosis,1,1,0,0,0,0,24,1,5,0,2,3,4,3,0,0,0,a,,,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,0.4512723982334137,Negative,0.4512723982334137,Negative,,,0.4512723982334137,Negative,0.4512723982334137,Negative,The Clear and Logical Explanations,Gemini
arju,image,"A, B",conflicting,No ,No ,5,4,5,5,2,A,"Both the responses were similar, but I like response A because it gave remedies every possible case unlike B.",1,0,1,0,0,0,22,0,5,0,1,2,1,2,1,0,0,a,response A because it gave remedies every possible case unlike B,,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,0.583800733089447,Positive,0.4512723982334137,Negative,response A because it gave remedies every possible case unlike B,,0.583800733089447,Positive,0.4512723982334137,Negative,The Clear and Logical Explanations,Gemini
ashu,image,"B, A",conflicting,Yes (3),Yes (4),3,4,4,3,3,B,Model B knew more medical terms and model A was basic,1,1,1,1,3,4,28,1,4,1,5,1,2,1,1,1,0,b,model A was basic,Model B knew more medical terms and model A was basic,Biomedical Precision and Domain Alignment,The Clinical Authority and Specificity,Biomedical Precision and Domain Alignment,The Clinical Authority and Specificity,Biomedical Precision and Domain Alignment,The Clinical Authority and Specificity,Biomedical Precision and Domain Alignment,The Clinical Authority and Specificity,0.5959110260009766,Positive,0.7395178079605103,Positive,Model B knew more medical terms and model A was basic,model A was basic,0.7395178079605103,Positive,0.5959110260009766,Positive,The Clinical Authority and Specificity,BioGPT
jyot,text,"B, A",consistent,No ,No ,5,3,3,3,3,A,"The first response gave irrelevant historical stuff which was not necessary. However, second response was more direct",0,1,0,0,0,0,48,1,2,0,2,3,1,2,0,0,0,a,,,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,0.4512723982334137,Negative,0.4512723982334137,Negative,,,0.4512723982334137,Negative,0.4512723982334137,Negative,The Clear and Logical Explanations,Gemini
kath,text,"A, B",consistent,Yes (4),Yes (3),4,5,4,3,3,B,"Both responses were very consistent and reinforced the same advice. The explanations felt aligned and helped me feel more confident in the correctness of the information. Since there were no contradictions, both were good.But I choose B",0,0,0,1,4,3,25,1,4,0,1,2,2,2,0,0,1,b,,,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,0.4512723982334137,Negative,0.4512723982334137,Negative,,,0.4512723982334137,Negative,0.4512723982334137,Negative,The Clear and Logical Explanations,BioGPT
kesa,image,"B, A",conflicting,No ,No ,3,4,4,2,2,B,"B's response was apt. I was testing if the model could detect subtle signs of an allergic skin reaction from the image without me explicitly stating the symptoms, and it did that better than A.",1,1,1,1,0,0,24,0,4,0,2,2,4,3,1,0,0,b,,,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,0.4512723982334137,Negative,0.4512723982334137,Negative,,,0.4512723982334137,Negative,0.4512723982334137,Negative,The Clear and Logical Explanations,BioGPT
likh,text,"A, B",conflicting,No ,No ,5,4,5,3,2,A,"Even though both models gave different answers, I found Model A's reasoning more structured and aligned with what I was expecting. It gave a clear breakdown of symptoms and possible causes, which made it easier for me to trust despite the disagreement.",0,0,1,0,0,0,27,1,3,0,1,4,2,4,1,0,0,a,Model A's reasoning more structured and aligned with what I was expecting,,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,0.5389009714126587,Neutral,0.4512723982334137,Negative,Model A's reasoning more structured and aligned with what I was expecting,,0.5389009714126587,Neutral,0.4512723982334137,Negative,The Clear and Logical Explanations,Gemini
madh,text,"A, B",partially consistent,No ,No,3,5,4,3,3,B,A's response was quick. ,0,0,1,1,0,0,30,1,3,1,5,4,1,2,0,0,1,b,,,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,0.4512723982334137,Negative,0.4512723982334137,Negative,,,0.4512723982334137,Negative,0.4512723982334137,Negative,The Clear and Logical Explanations,BioGPT
mano,text,"B, A",conflicting,No,No,3,2,2,1,1,A,"There were some differences between the two responses. Model A seemed more aligned with what I observed in the image I uploaded. Model B's explanation felt slightly unrelated, so I trusted Model A more.",0,1,1,0,0,0,24,0,5,0,1,4,3,3,0,0,1,a,Model A seemed more aligned with what I observed in the image I uploaded,"Model B's explanation felt slightly unrelated, so I trusted Model A more",Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,0.6964378952980042,Positive,0.5724782347679138,Positive,Model A seemed more aligned with what I observed in the image I uploaded,"Model B's explanation felt slightly unrelated, so I trusted Model A more",0.6964378952980042,Positive,0.5724782347679138,Positive,The Clinical Authority and Specificity,Gemini
moni,text,"B, A",consistent,Yes (5),Yes (4),4,5,4,5,4,,I liked model B's response it was short and crisp,0,1,0,1,5,4,20,0,4,0,1,1,3,2,1,0,1,,,model B's response it was short and crisp,Concise and Goal-Oriented Communication,The Clear and Logical Explanations,Concise and Goal-Oriented Communication,The Clear and Logical Explanations,Concise and Goal-Oriented Communication,The Clear and Logical Explanations,Concise and Goal-Oriented Communication,The Clear and Logical Explanations,0.4512723982334137,Negative,0.5107645392417908,Neutral,model B's response it was short and crisp,,0.5107645392417908,Neutral,0.4512723982334137,Negative,,
navi,text,"A, B",conflicting,Yes (5) ,Yes (3) ,5,2,5,5,3,A,"I will choose model A over B because A's response was clear and easily understandable. B's response was just one word but still rated its own confidence as 3 out of 5, which makes me doubt its reliability for mental health-related questions.",0,0,1,0,5,3,22,0,5,0,2,2,2,3,1,1,0,a,model A over B because A's response was clear and easily understandable,,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,0.6249469518661499,Positive,0.4512723982334137,Negative,model A over B because A's response was clear and easily understandable,,0.6249469518661499,Positive,0.4512723982334137,Negative,The Clear and Logical Explanations,Gemini
nira,text,"B, A",consistent,Yes (5) ,Yes (1) ,4,3,3,3,3,A,"Both the responses were almost same, however B took the extreme case that people would die of bloating, so I'd prefer A.",0,1,0,0,5,1,23,0,5,0,1,1,1,1,0,1,0,a,,,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,0.4512723982334137,Negative,0.4512723982334137,Negative,,,0.4512723982334137,Negative,0.4512723982334137,Negative,The Clear and Logical Explanations,Gemini
prak,text,"A, B",conflicting,Yes (5),Yes (2),3,4,4,3,4,B,"The second response was more research-backed with specific details about prematurity and birth weight, which made it feel evidence-driven. I think I'll prefer this even though the confidence was lower. ",0,0,1,1,5,2,51,0,3,1,4,4,3,3,0,0,1,b,,,Biomedical Precision and Domain Alignment,The Clinical Authority and Specificity,Biomedical Precision and Domain Alignment,The Clinical Authority and Specificity,Biomedical Precision and Domain Alignment,The Clinical Authority and Specificity,Biomedical Precision and Domain Alignment,The Clinical Authority and Specificity,0.4512723982334137,Negative,0.4512723982334137,Negative,,,0.4512723982334137,Negative,0.4512723982334137,Negative,The Clinical Authority and Specificity,BioGPT
ramm,text,"A, B",consistent,Yes (3),Yes (2),4,3,4,4,4,A,"Model A gave me a more relatable and practical answer, while the other felt too technical and less helpful in this context",0,0,0,0,3,2,46,0,4,1,5,5,3,2,1,1,0,a,"Model A gave me a more relatable and practical answer, while the other felt too technical and less helpful in this context",,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,0.5244349837303162,Neutral,0.4512723982334137,Negative,"Model A gave me a more relatable and practical answer, while the other felt too technical and less helpful in this context",,0.5244349837303162,Neutral,0.4512723982334137,Negative,The Clear and Logical Explanations,Gemini
sah,image,"B, A",partially consistent,Yes(4),Yes (3),3,4,3,3,2,A,"While both responses were generally on track, I trusted Model A more because it directly addressed the specifics of my question. ",1,1,1,0,4,3,18,0,4,0,1,3,3,3,0,1,0,a,Model A more because it directly addressed the specifics of my question,,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,0.6939277648925781,Positive,0.4512723982334137,Negative,Model A more because it directly addressed the specifics of my question,,0.6939277648925781,Positive,0.4512723982334137,Negative,The Clinical Authority and Specificity,Gemini
sasi,image,"A, B",conflicting,No,No,3,4,3,3,3,B,"Although both models interpreted the situation differently, Model B gave more specific recommendations for follow-up steps. Its detailed suggestions made me feel more confident in trusting its response.",1,0,1,1,0,0,22,0,4,0,1,2,4,1,0,0,0,b,,Model B gave more specific recommendations for follow-up steps,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,0.4512723982334137,Negative,0.8964448571205139,Positive,Model B gave more specific recommendations for follow-up steps,,0.8964448571205139,Positive,0.4512723982334137,Negative,The Clear and Logical Explanations,BioGPT
shar,image,"A, B",conflicting,No ,No,5,1,4,5,3,A,Its detailed suggestions made me feel more confident in trusting its response.,1,0,1,0,0,0,41,1,2,0,2,3,1,3,1,0,1,a,,,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,Confidence Signaling and Trust Calibration,The Clinical Authority and Specificity,0.4512723982334137,Negative,0.4512723982334137,Negative,,,0.4512723982334137,Negative,0.4512723982334137,Negative,The Clinical Authority and Specificity,Gemini
soni,text,"A, B",consistent,Yes (3),Yes (4),3,4,3,3,3,A,"Both models agreed, but Model A presented the information in a more structured and easy-to-understand way. Its explanation felt more thorough, which helped me trust it slightly more than Model B.",0,0,0,0,3,4,23,0,5,0,1,4,3,2,1,0,0,a,Model A presented the information in a more structured and easy-to-understand way,Model B,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,Structured Reasoning and Explanation Clarity,The Clear and Logical Explanations,0.6866344809532166,Positive,0.6700671315193176,Positive,Model A presented the information in a more structured and easy-to-understand way,Model B,0.6866344809532166,Positive,0.6700671315193176,Positive,The Clear and Logical Explanations,Gemini
srir,text,"B, A",consistent,Yes (3),Yes (5),3,5,5,4,3,B,Response A used words like sternum and so on which I was not sure about  because my question was were heartburn occurs and it gave too much reasoning which I feel was unnecessary. First response was to the point.  ,0,1,0,1,3,5,23,0,5,0,1,2,2,1,1,1,0,b,Response A used words like sternum and so on which I was not sure about  because my question was were heartburn occurs and it gave too much reasoning which I feel was unnecessary,,Concise and Goal-Oriented Communication,The Clear and Logical Explanations,Concise and Goal-Oriented Communication,The Clear and Logical Explanations,Concise and Goal-Oriented Communication,The Clear and Logical Explanations,Concise and Goal-Oriented Communication,The Clear and Logical Explanations,0.8162598013877869,Positive,0.4512723982334137,Negative,,Response A used words like sternum and so on which I was not sure about  because my question was were heartburn occurs and it gave too much reasoning which I feel was unnecessary,0.4512723982334137,Negative,0.8162598013877869,Positive,The Clear and Logical Explanations,BioGPT
swet,text,"A, B",consistent,Yes (3),Yes (2),4,3,3,4,5,A,I chose model A because it was easier to understand,0,0,0,0,3,2,23,1,5,0,1,2,1,4,1,1,1,a,model A because it was easier to understand,,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,0.5492390990257263,Neutral,0.4512723982334137,Negative,model A because it was easier to understand,,0.5492390990257263,Neutral,0.4512723982334137,Negative,The Clear and Logical Explanations,Gemini
vish,image,"A, B",partially consistent,No ,No ,4,3,3,2,2,B,Model B was more convincing. Model A felt very general while B addressed it fully,1,0,1,1,0,0,25,0,4,0,1,3,2,3,0,0,1,b,Model A felt very general while B addressed it fully,Model B was more convincing,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,Contextual Appropriateness and Visual Grounding,The Clear and Logical Explanations,0.7726520895957947,Positive,0.49591416120529175,Neutral,Model B was more convincing,Model A felt very general while B addressed it fully,0.49591416120529175,Neutral,0.7726520895957947,Positive,The Clear and Logical Explanations,BioGPT
vive,text,"A, B",conflicting,No ,No ,4,4,3,2,2,B,"Both Models gave different responses. They were correct in their own terms. Model B felt trustworthy as it showed medical knowledge where A was general and basic,",0,0,1,1,0,0,25,0,3,0,1,2,4,4,0,0,1,b,,"Model B felt trustworthy as it showed medical knowledge where A was general and basic,",Biomedical Precision and Domain Alignment,The Clinical Authority and Specificity,Biomedical Precision and Domain Alignment,The Clinical Authority and Specificity,Biomedical Precision and Domain Alignment,The Clinical Authority and Specificity,Biomedical Precision and Domain Alignment,The Clinical Authority and Specificity,0.4512723982334137,Negative,0.5367735624313354,Neutral,"Model B felt trustworthy as it showed medical knowledge where A was general and basic,",,0.5367735624313354,Neutral,0.4512723982334137,Negative,The Clinical Authority and Specificity,BioGPT
